,Rating,Review Date,Location,Username,Review,Fit Feedback,Comfort Feedback,Recommend Feedback,title,IsPromoReview,subtitle,colorDescription,fullPrice,discounted,employeePrice,currentPrice,isLaunch,pid,label
1626,5,"Nov 13, 2022",TENNESSEE,sdun74,"Great colorway
 These are the perfect shoes to wear with your Lakers gear.
Product received for free, or reviewed as part of a sweepstakes/promotion.
#teamnike
sdun74
Nov 13, 2022
Location
TENNESSEE
Originally posted at Hibbett Sports
0
0
Flag",,,,Air Jordan 1 Mid,True,Men's Shoes,University Blue/White/Black,125,False,75.0,125.0,False,1012356738,IN_STOCK
1627,5,"Nov 13, 2022",TENNESSEE,sdun74,"Great colorway
 These are the perfect shoes to wear with your Lakers gear.
Product received for free, or reviewed as part of a sweepstakes/promotion.
#teamnike
sdun74
Nov 13, 2022
Location
TENNESSEE
Originally posted at Hibbett Sports
0
0
Flag",,,,Air Jordan 1 Mid,True,Women's Shoes,Action Grape/Sail/Sky J Light Purple,125,False,75.0,125.0,False,1012356868,IN_STOCK
1628,5,"Nov 13, 2022",TENNESSEE,sdun74,"Great colorway
 These are the perfect shoes to wear with your Lakers gear.
Product received for free, or reviewed as part of a sweepstakes/promotion.
#teamnike
sdun74
Nov 13, 2022
Location
TENNESSEE
Originally posted at Hibbett Sports
0
0
Flag",,,,Air Jordan 1 Mid,True,Women's Shoes,Lemon Wash/White/Lapis,125,True,60.58,100.97,False,1003839142,IN_STOCK
1629,5,"Nov 13, 2022",TENNESSEE,sdun74,"Great colorway
 These are the perfect shoes to wear with your Lakers gear.
Product received for free, or reviewed as part of a sweepstakes/promotion.
#teamnike
sdun74
Nov 13, 2022
Location
TENNESSEE
Originally posted at Hibbett Sports
0
0
Flag",,,,Air Jordan 1 Mid,True,Shoes,White/White/White,125,False,75.0,125.0,False,14248558,IN_STOCK
1630,5,"Nov 13, 2022",Indianapolis,Location,"Better Than Other Shoe Sites
Always quick delivery and loved the shoes. Arrived in 3 days!
P Love
Nov 13, 2022
Location
Indianapolis
Originally posted at Hibbett Sports
1
0
Flag",,,,Air Jordan 1 Mid,False,Men's Shoes,Lucky Green/White/Black,125,True,60.58,100.97,False,1010128831,IN_STOCK
1631,5,"Nov 13, 2022",Indianapolis,Location,"Better Than Other Shoe Sites
Always quick delivery and loved the shoes. Arrived in 3 days!
P Love
Nov 13, 2022
Location
Indianapolis
Originally posted at Hibbett Sports
1
0
Flag",,,,Air Jordan 1 Mid,False,Men's Shoes,University Blue/White/Black,125,False,75.0,125.0,False,1012356738,IN_STOCK
1632,5,"Nov 13, 2022",Indianapolis,Location,"Better Than Other Shoe Sites
Always quick delivery and loved the shoes. Arrived in 3 days!
P Love
Nov 13, 2022
Location
Indianapolis
Originally posted at Hibbett Sports
1
0
Flag",,,,Air Jordan 1 Mid,False,Women's Shoes,Action Grape/Sail/Sky J Light Purple,125,False,75.0,125.0,False,1012356868,IN_STOCK
1633,5,"Nov 13, 2022",Indianapolis,Location,"Better Than Other Shoe Sites
Always quick delivery and loved the shoes. Arrived in 3 days!
P Love
Nov 13, 2022
Location
Indianapolis
Originally posted at Hibbett Sports
1
0
Flag",,,,Air Jordan 1 Mid,False,Women's Shoes,Lemon Wash/White/Lapis,125,True,60.58,100.97,False,1003839142,IN_STOCK
1634,5,"Nov 13, 2022",Indianapolis,Location,"Better Than Other Shoe Sites
Always quick delivery and loved the shoes. Arrived in 3 days!
P Love
Nov 13, 2022
Location
Indianapolis
Originally posted at Hibbett Sports
1
0
Flag",,,,Air Jordan 1 Mid,False,Shoes,White/White/White,125,False,75.0,125.0,False,14248558,IN_STOCK
1635,5,"Nov 12, 2022","London, GB",alkins689485265,"Great ones
Great fit, very good build quality.
alkins689485265
Nov 12, 2022
Location
London, GB
0
0
Flag",,,,Air Jordan 1 Mid,False,Men's Shoes,Lucky Green/White/Black,125,True,60.58,100.97,False,1010128831,IN_STOCK
